Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
284,Kanal,Andrzej Wajda,1957,,,,,['Andrzej Wajda: Three War Films (Availability Unsure)'],True
285,Ashes and Diamonds,Andrzej Wajda,1958,,$31.96,,,"['Andrzej Wajda: Three War Films (Availability Unsure)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
286,Divorce Italian Style,Pietro Germi,1961,$31.96,,,,[],True
287,Burden of Dreams,Les Blank,1982,$23.96,,,,[],True
288,F for Fake,Orson Welles,1975,$31.96,$31.96,,,[],True
289,Hoop Dreams,Steve James,1994,$23.96,$31.96,,,[],True
290,The Phantom of Liberty,Luis Buñuel,1974,,,,,['Three Films by Luis Buñuel (Available)'],True
291,Heaven Can Wait,Ernst Lubitsch,1943,$23.96,$31.96,,,[],False
292,Unfaithfully Yours,Preston Sturges,1948,$23.96,,,,[],False
293,The Flowers of St. Francis,Roberto Rossellini,1950,Currently Unavailable,,,,[],True
294,The Browning Version,Anthony Asquith,1951,$23.96,,,,[],True
295,Crazed Fruit,Kô Nakahira,1956,Currently Unavailable,,,,[],True
296,Le notti bianche,Luchino Visconti,1957,$23.96,,,,[],True
297,Au hasard Balthazar,Robert Bresson,1966,$23.96,$31.96,,,[],True
298,Gate of Flesh,Seijun Suzuki,1964,$23.96,,,,[],True
299,Story of a Prostitute,Seijun Suzuki,1965,$23.96,,,,[],True
300,The Life Aquatic with Steve Zissou,Wes Anderson,2004,,$31.96,,,[],False
301,An Angel at My Table,Jane Campion,1990,$31.96,$31.96,,,[],True
302,Harakiri,Masaki Kobayashi,1962,,$31.96,,,[],True
303,Bad Timing,Nicolas Roeg,1980,Currently Unavailable,,,,[],True
304,The Man Who Fell to Earth,Nicolas Roeg,1976,Out Of Print,Out Of Print,,,[],False
305,Boudu Saved from Drowning,Jean Renoir,1932,$23.96,,,,[],True
306,Le samouraï,Jean-Pierre Melville,1967,$23.96,$31.96,,,[],True
307,Naked,Mike Leigh,1993,$31.96,$31.96,,,[],True
308,Masculin féminin,Jean-Luc Godard,1966,$23.96,$31.96,,,[],True
309,Ugetsu,Kenji Mizoguchi,1953,$23.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
310,Samurai Rebellion,Masaki Kobayashi,1967,$23.96,,,,['Rebel Samurai: Sixties Swordplay Classics (Available)'],True
311,Sword of the Beast,Hideo Gosha,1965,,,,,['Rebel Samurai: Sixties Swordplay Classics (Available)'],True
312,Samurai Spy,Masahiro Shinoda,1965,$23.96,,,,['Rebel Samurai: Sixties Swordplay Classics (Available)'],True
313,Kill!,Kihachi Okamoto,1968,,,,,['Rebel Samurai: Sixties Swordplay Classics (Available)'],True
314,Pickpocket,Robert Bresson,1959,$19.96,,,,[],True
315,Shoot the Piano Player,François Truffaut,1960,Currently Unavailable,,,,[],True
316,Ran,Akira Kurosawa,1985,Out Of Print,,,,[],False
317,The Tales of Hoffmann,Michael Powell and Emeric Pressburger,1951,,$31.96,,,[],False
318,Forbidden Games,René Clément,1952,Out Of Print,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],False
319,The Bad Sleep Well,Akira Kurosawa,1960,$23.96,,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
320,Young Mr. Lincoln,John Ford,1939,$23.96,$31.96,,,[],False
321,The Virgin Spring,Ingmar Bergman,1960,$23.96,$31.96,,,"['Ingmar Bergman’s Cinema (Available)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
322,The Complete Mr. Arkadin,Orson Welles,1955,Out Of Print,,,,[],True
323,The Children Are Watching Us,Vittorio De Sica,1944,$23.96,,,,[],True
324,La bête humaine,Jean Renoir,1938,Currently Unavailable,,,,[],True
325,Kind Hearts and Coronets,Robert Hamer,1949,Out Of Print,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],False
326,Metropolitan,Whit Stillman,1990,$31.96,$31.96,,,"['A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco (Available)', 'A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco (Available)']",True
327,3 Films by Louis Malle,,,Out Of Print,,,,[],False
328,Murmur of the Heart,Louis Malle,1971,Currently Unavailable,,,,['3 Films by Louis Malle (Out of Print)'],True
329,"Lacombe, Lucien",Louis Malle,1974,$23.96,,,,['3 Films by Louis Malle (Out of Print)'],True
330,Au revoir les enfants,Louis Malle,1987,$23.96,$31.96,,,['3 Films by Louis Malle (Out of Print)'],True
331,Late Spring,Yasujiro Ozu,1949,,$31.96,,,[],True
332,Viridiana,Luis Buñuel,1961,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
333,Fists in the Pocket,Marco Bellocchio,1965,$23.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
334,Harlan County USA,Barbara Kopple,1976,$31.96,,,,[],True
335,Elevator to the Gallows,Louis Malle,1958,$23.96,$31.96,,,[],True
336,Dazed and Confused,Richard Linklater,1993,$31.96,$31.96,,$39.96,[],False
337,À nos amours,Maurice Pialat,1983,$31.96,,,,[],True
338,Equinox,Jack Woods,1970,$31.96,,,,[],True
339,Yi Yi,Edward Yang,2000,$31.96,$31.96,,,[],True
340,Koko: A Talking Gorilla,Barbet Schroeder,1978,$17.97,,,,[],True
341,A Canterbury Tale,Michael Powell and Emeric Pressburger,1944,$31.96,,,,[],True
342,Six Moral Tales,,,,$79.96,,,[],False
343,The Bakery Girl of Monceau,Eric Rohmer,1963,,,,,['Six Moral Tales (Available)'],True
344,Suzanne’s Career,Eric Rohmer,1963,,,,,['Six Moral Tales (Available)'],True
345,My Night at Maud’s,Eric Rohmer,1969,,,,,['Six Moral Tales (Available)'],True
346,La collectionneuse,Eric Rohmer,1967,,,,,['Six Moral Tales (Available)'],True
347,Claire’s Knee,Eric Rohmer,1970,,,,,['Six Moral Tales (Available)'],True
348,Love in the Afternoon,Eric Rohmer,1972,,,,,['Six Moral Tales (Available)'],True
349,Kicking and Screaming,Noah Baumbach,1995,$23.96,,,,[],False
350,Seduced and Abandoned,Pietro Germi,1964,$23.96,,,,[],True
351,The Spirit of the Beehive,Víctor Erice,1973,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
352,Jigoku,Nobuo Nakagawa,1960,$23.96,,,,[],True
353,Sólo con tu pareja,Alfonso Cuarón,1991,Currently Unavailable,,,,[],False
354,"Clean, Shaven",Lodge Kerrigan,1994,$23.96,,,,[],True
355,Hands over the City,Francesco Rosi,1963,$31.96,,,,[],True
356,Sweetie,Jane Campion,1989,$31.96,$31.96,,,[],True
357,The Fallen Idol,Carol Reed,1948,Out Of Print,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],False
358,Pandora’s Box,G. W. Pabst,1929,Out Of Print,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
359,The Double Life of Véronique,Krzysztof Kieślowski,1991,,$31.96,,,[],True
360,Symbiopsychotaxiplasm: Two Takes by William Greaves,William Greaves,,$31.96,$31.96,,,[],True
361,The Beales of Grey Gardens,Albert Maysles and David Maysles,2006,$15.96,,,,['Grey Gardens / The Beales of Grey Gardens Box Set (Available)'],True
362,Border Radio,"Allison Anders, Dean Lent, and Kurt Voss",1987,$31.96,,,,[],True
363,Mouchette,Robert Bresson,1967,$31.96,$31.96,,,[],True
364,Monsters and Madmen,,,$63.96,,,,[],False
365,First Man into Space,Robert Day,1959,,,,,['Monsters and Madmen (Available)'],True
366,The Atomic Submarine,Spencer G. Bennet,1959,,,,,['Monsters and Madmen (Available)'],True
367,The Haunted Strangler,Robert Day,1958,,,,,['Monsters and Madmen (Available)'],True
368,Corridors of Blood,Robert Day,1959,,,,,['Monsters and Madmen (Available)'],True
369,Paul Robeson: Portraits of the Artist,,,$79.96,,,,[],False
370,The Emperor Jones,Dudley Murphy,1933,,,,,['Paul Robeson: Portraits of the Artist (Available)'],True
371,Body and Soul,Oscar Micheaux,1925,,,,,['Paul Robeson: Portraits of the Artist (Available)'],False
372,Sanders of the River,Zoltán Korda,1935,,,,,['Paul Robeson: Portraits of the Artist (Available)'],True
373,The Proud Valley,Pen Tennyson,1940,,,,,['Paul Robeson: Portraits of the Artist (Available)'],False
374,Bicycle Thieves,Vittorio De Sica,1948,$31.96,$31.96,,,[],True
375,Green for Danger,Sidney Gilliat,1946,$23.96,,,,[],True
376,49th Parallel,Michael Powell,1941,$31.96,,,,[],True
377,When a Woman Ascends the Stairs,Mikio Naruse,1960,$31.96,,,,[],True
378,Fires on the Plain,Kon Ichikawa,1959,$23.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
379,The Burmese Harp,Kon Ichikawa,1956,Currently Unavailable,,,,[],True
380,The Naked City,Jules Dassin,1948,$31.96,$31.96,,,[],True
381,La haine,Mathieu Kassovitz,1995,$31.96,$31.96,,,[],True
382,Overlord,Stuart Cooper,1975,$31.96,$31.96,,,[],True
383,Brute Force,Jules Dassin,1947,,$31.96,,,[],True
384,Vengeance Is Mine,Shohei Imamura,1979,$23.96,$31.96,,,[],True
385,Army of Shadows,Jean-Pierre Melville,1969,$23.96,$31.96,,,[],False
386,Sansho the Bailiff,Kenji Mizoguchi,1954,$23.96,$31.96,,,[],True
387,La Jetée/Sans Soleil,,,$31.96,$31.96,,,[],False
388,The Two of Us,Claude Berri,1967,Out Of Print,,,,[],False
389,WR: Mysteries of the Organism,Dušan Makavejev,1971,$31.96,,,,[],True
390,Sweet Movie,Dušan Makavejev,1974,$23.96,,,,[],False
391,If....,Lindsay Anderson,1969,$31.96,$31.96,,,[],False
392,Three Films by Hiroshi Teshigahara,,,Out Of Print,,,,[],False
393,Pitfall,Hiroshi Teshigahara,1962,,,,,['Three Films by Hiroshi Teshigahara (Out of Print)'],True
394,Woman in the Dunes,Hiroshi Teshigahara,1964,$23.96,$31.96,,,['Three Films by Hiroshi Teshigahara (Out of Print)'],True
395,The Face of Another,Hiroshi Teshigahara,1966,,,,,['Three Films by Hiroshi Teshigahara (Out of Print)'],True
396,Ace in the Hole,Billy Wilder,1951,$23.96,$31.96,,,[],False
397,Ivan’s Childhood,Andrei Tarkovsky,1962,$23.96,$31.96,,,[],True
398,Les enfants terribles,Jean-Pierre Melville,1950,Currently Unavailable,,,,[],True
399,House of Games,David Mamet,1987,$31.96,$31.96,,,[],False
400,Stranger Than Paradise,Jim Jarmusch,1984,$31.96,$31.96,,,[],True
401,Night on Earth,Jim Jarmusch,1991,$31.96,$31.96,,,[],True
402,The Milky Way,Luis Buñuel,1969,Out Of Print,,,,[],False
403,Cría cuervos . . .,Carlos Saura,1976,$31.96,,,,[],True
404,Robinson Crusoe on Mars,Byron Haskin,1964,$31.96,$31.96,,,[],False
405,The Threepenny Opera,G. W. Pabst,1931,$31.96,,,,[],True
406,Martha Graham: Dance on Film,Nathan Kroll,1959,$31.96,,,,[],False
407,Mala Noche,Gus Van Sant,1985,$23.96,,,,[],True
408,Breathless,Jean-Luc Godard,1960,$23.96,$31.96,,$39.96,[],True
409,Days of Heaven,Terrence Malick,1978,,$31.96,,$39.96,[],False
410,Under the Volcano,John Huston,1984,Currently Unavailable,,,,[],True
411,Berlin Alexanderplatz,Rainer Werner Fassbinder,1980,$99.96,$79.96,,,[],True
412,Sawdust and Tinsel,Ingmar Bergman,1953,$31.96,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
413,Drunken Angel,Akira Kurosawa,1948,$31.96,,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
414,Two-Lane Blacktop,Monte Hellman,1971,$31.96,$31.96,,,[],False
415,The Naked Prey,Cornel Wilde,1965,$31.96,$31.96,,,[],False
416,Miss Julie,Alf Sjöberg,1951,$31.96,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
417,This Sporting Life,Lindsay Anderson,1963,$31.96,,,,[],True
418,4 by Agnès Varda,,,$79.96,,,,[],False
419,La Pointe Courte,Agnès Varda,1955,,,,,"['4 by Agnès Varda (Available)', 'The Complete Films of Agnès Varda (Available)']",True
420,Le bonheur,Agnès Varda,1965,,,,,"['4 by Agnès Varda (Available)', 'The Complete Films of Agnès Varda (Available)']",True
421,Pierrot le fou,Jean-Luc Godard,1965,$23.96,$31.96,,,[],False
422,The Last Emperor,Bernardo Bertolucci,1987,$47.96,$31.96,,,[],True
423,Walker,Alex Cox,1987,$31.96,$31.96,,,[],False
424,Mafioso,Alberto Lattuada,1962,Out Of Print,,,,[],True
425,Antonio Gaudí,Hiroshi Teshigahara,1984,$31.96,$31.96,,,[],True
426,The Ice Storm,Ang Lee,1997,$31.96,$31.96,,,[],False
427,Death of a Cyclist,Juan Antonio Bardem,1955,$23.96,,,,[],True
428,Blast of Silence,Allen Baron,1961,,$31.96,,,[],False
429,The Lovers,Louis Malle,1958,$23.96,,,,[],True
430,The Fire Within,Louis Malle,1963,Currently Unavailable,,,,[],True
431,The Thief of Bagdad,"Ludwig Berger, Michael Powell, and Tim Whelan",1940,$31.96,,,,[],True
432,Mishima: A Life in Four Chapters,Paul Schrader,1985,$23.96,$31.96,,,[],True
433,Patriotism,Yukio Mishima and Domoto Masaki,1966,$19.96,,,,[],False
434,Classe tous risques,Claude Sautet,1960,$23.96,,,,[],False
435,The Furies,Anthony Mann,1950,$31.96,$31.96,,,[],False
436,Before the Rain,Milcho Manchevski,1994,$31.96,,,,[],True
437,Vampyr,Carl Th. Dreyer,1932,$31.96,$31.96,,,[],True
438,Mon oncle Antoine,Claude Jutra,1971,$31.96,,,,[],True
439,Trafic,Jacques Tati,1971,,,,,"['The Complete Jacques Tati (Available)', 'The Complete Jacques Tati (Available)']",True
440,Brand upon the Brain!,Guy Maddin,2006,$31.96,,,,[],False
441,The Small Back Room,Michael Powell and Emeric Pressburger,1949,Out Of Print,,,,[],True
442,Twenty-Four Eyes,Keisuke Kinoshita,1954,$23.96,,,,[],True
443,La ronde,Max Ophuls,1950,$31.96,,,,[],True
444,Le plaisir,Max Ophuls,1952,Currently Unavailable,,,,[],True
445,The Earrings of Madame de . . .,Max Ophuls,1953,$31.96,$31.96,,,[],True
446,An Autumn Afternoon,Yasujiro Ozu,1962,$23.96,$31.96,,,[],True
447,Le doulos,Jean-Pierre Melville,1962,Out Of Print,,,,[],True
448,Le deuxième souffle,Jean-Pierre Melville,1966,$31.96,,,,[],True
449,Missing,Costa-Gavras,1982,$31.96,,,,[],False
450,Bottle Rocket,Wes Anderson,1996,$31.96,$31.96,,,[],False
451,Fanfan la Tulipe,Christian-Jaque,1952,$23.96,,,,[],True
452,The Spy Who Came in from the Cold,Martin Ritt,1965,$31.96,$31.96,,,[],False
453,Chungking Express,Wong Kar Wai,1994,,,,,['World of Wong Kar Wai (Available)'],True
454,Europa,Lars von Trier,1991,$31.96,,,,['Lars von Trier’s Europe Trilogy (Available)'],True
455,White Dog,Samuel Fuller,1982,Currently Unavailable,,,,[],False
456,The Taking of Power by Louis XIV,Roberto Rossellini,1966,$23.96,,,,[],True
457,Magnificent Obsession,Douglas Sirk,1954,$31.96,$31.96,,,[],False
458,El Norte,Gregory Nava,1983,$31.96,$31.96,,,[],False
459,The Exterminating Angel,Luis Buñuel,1962,$31.96,$31.96,,,[],True
460,Simon of the Desert,Luis Buñuel,1965,$19.96,,,,[],True
461,Hobson’s Choice,David Lean,1954,$31.96,,,,[],True
462,The Last Metro,François Truffaut,1980,$31.96,$31.96,,,[],True
463,Il Generale Della Rovere,Roberto Rossellini,1959,Out Of Print,,,,[],False
464,Danton,Andrzej Wajda,1983,$31.96,,,,[],True
465,Dodes’ka-den,Akira Kurosawa,1970,$23.96,,,,['AK 100: 25 Films by Kurosawa (Out of Print)'],True
466,In the Realm of the Senses,Nagisa Oshima,1976,,$31.96,,,[],True
467,Empire of Passion,Nagisa Oshima,1978,Currently Unavailable,,,,[],True
468,Science Is Fiction: 23 Films by Jean Painlevé,Jean Painlevé,,Currently Unavailable,,,,[],True
469,The Hit,Stephen Frears,1984,$23.96,$31.96,,,[],True
470,Wise Blood,John Huston,1979,$31.96,,,,[],True
471,"Pigs, Pimps & Prostitutes: 3 Films by Shohei Imamura",,,Currently Unavailable,,,,[],False
472,Pigs and Battleships,Shohei Imamura,1962,,,,,"['Pigs, Pimps & Prostitutes (Availability Unsure)']",True
473,The Insect Woman,Shohei Imamura,1963,,,,,"['Pigs, Pimps & Prostitutes (Availability Unsure)']",True
474,Intentions of Murder,Shohei Imamura,1964,,,,,"['Pigs, Pimps & Prostitutes (Availability Unsure)']",True
475,The Friends of Eddie Coyle,Peter Yates,1973,,$31.96,,,[],False
476,The Curious Case of Benjamin Button,David Fincher,2008,Out Of Print,Out Of Print,,,[],False
477,Bergman Island,Marie Nyreröd,2006,$15.96,,,,[],True
478,Last Year at Marienbad,Alain Resnais,1961,Out Of Print,Out Of Print,,,[],False
479,My Dinner with André,Louis Malle,1981,$31.96,$31.96,,,"['André Gregory & Wallace Shawn: 3 Films (Available)', 'André Gregory & Wallace Shawn: 3 Films (Available)']",True
480,The Human Condition,Masaki Kobayashi,1959,$47.96,$47.96,,,[],True
481,Made in U.S.A,Jean-Luc Godard,1966,$23.96,,,,[],False
482,2 or 3 Things I Know About Her,Jean-Luc Godard,1967,$23.96,,,,[],True
483,Repulsion,Roman Polanski,1965,$31.96,$31.96,,,[],False
484,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,$23.96,$31.96,,,[],True
485,The Last Days of Disco,Whit Stillman,1998,$31.96,$31.96,,,"['A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco (Available)', 'A Whit Stillman Trilogy: Metropolitan, Barcelona, The Last Days of Disco (Available)']",False
486,Homicide,David Mamet,1991,$31.96,,,,[],True
487,That Hamilton Woman,Alexander Korda,1941,$31.96,,,,[],True
488,Howards End,James Ivory,1992,Out Of Print,Out Of Print,,,[],False
489,Monsoon Wedding,Mira Nair,2001,$31.96,$31.96,,,[],False
490,Wings of Desire,Wim Wenders,1987,$31.96,$31.96,,$39.96,[],True
491,Z,Costa-Gavras,1969,Out Of Print,,,,[],True
492,A Christmas Tale,Arnaud Desplechin,2008,$31.96,$31.96,,,[],False
493,Gomorrah,Matteo Garrone,2008,$31.96,$31.96,,,[],True
494,Downhill Racer,Michael Ritchie,1969,$23.96,$31.96,,,[],False
495,The Golden Age of Television,,,$39.96,,,,[],False
496,Che,Steven Soderbergh,2008,$39.96,$39.96,,,[],True
497,Rome Open City,Roberto Rossellini,1945,,,,,['Roberto Rossellini’s War Trilogy (Available)'],True
498,Paisan,Roberto Rossellini,1946,,,,,['Roberto Rossellini’s War Trilogy (Available)'],True
499,Germany Year Zero,Roberto Rossellini,1948,,,,,['Roberto Rossellini’s War Trilogy (Available)'],True
500,Roberto Rossellini’s War Trilogy,,,,$79.96,,,[],False
501,"Paris, Texas",Wim Wenders,1984,$23.96,$31.96,,,[],True
502,Revanche,Götz Spielmann,2008,$31.96,$31.96,,,[],True
503,Lola Montès,Max Ophuls,1955,$31.96,$31.96,,,[],True
504,Hunger,Steve McQueen,2008,$31.96,$31.96,,,[],False
505,Make Way for Tomorrow,Leo McCarey,1937,$23.96,$31.96,,,[],False
506,Dillinger Is Dead,Marco Ferreri,1969,$23.96,,,,[],True
507,Bigger Than Life,Nicholas Ray,1956,$31.96,$31.96,,,[],False
508,Letters from Fontainhas: Three Films by Pedro Costa,,,$63.96,,,,[],False
509,Ossos,Pedro Costa,1997,,,,,['Letters from Fontainhas (Available)'],True
510,In Vanda’s Room,Pedro Costa,2000,,,,,['Letters from Fontainhas (Available)'],True
511,Colossal Youth,Pedro Costa,2006,,,,,['Letters from Fontainhas (Available)'],True
512,Vivre sa vie,Jean-Luc Godard,1962,$31.96,$31.96,,,[],True
513,Summer Hours,Olivier Assayas,2008,$31.96,$31.96,,,[],False
514,Ride with the Devil,Ang Lee,1999,$31.96,$31.96,,,[],False
515,The Fugitive Kind,Sidney Lumet,1960,$31.96,$31.96,,,[],False
516,Stagecoach,John Ford,1939,$31.96,$31.96,,,[],True
517,"By Brakhage: An Anthology, Volume Two",Stan Brakhage,,,,,,['By Brakhage: An Anthology (Available)'],False
518,"By Brakhage: An Anthology, Volumes One and Two",,,,$47.96,,,[],False
519,Close-up,Abbas Kiarostami,1990,$31.96,$31.96,,,[],True
520,Everlasting Moments,Jan Troell,2008,$31.96,$31.96,,,[],True
521,Mystery Train,Jim Jarmusch,1989,$31.96,$31.96,,,[],True
522,Red Desert,Michelangelo Antonioni,1964,$31.96,$31.96,,,[],True
523,Night Train to Munich,Carol Reed,1940,$23.96,$31.96,,,[],False
524,The Only Son/There Was a Father: Two Films by Yasujiro Ozu,,,Currently Unavailable,,,,[],False
525,The Only Son,Yasujiro Ozu,1936,,,,,['The Only Son/There Was a Father (Availability Unsure)'],True
526,There Was a Father,Yasujiro Ozu,1942,,,,,['The Only Son/There Was a Father (Availability Unsure)'],True
527,The Secret of the Grain,Abdellatif Kechiche,2007,$31.96,$31.96,,,[],False
528,3 Silent Classics by Josef von Sternberg,,,,$79.96,,,[],False
529,Underworld,Josef von Sternberg,1927,,,,,['3 Silent Classics by Josef von Sternberg (Available)'],False
530,The Last Command,Josef von Sternberg,1928,,,,,['3 Silent Classics by Josef von Sternberg (Available)'],False
531,The Docks of New York,Josef von Sternberg,1928,,,,,['3 Silent Classics by Josef von Sternberg (Available)'],False
532,Louie Bluie,Terry Zwigoff,1985,$19.96,,,,[],False
533,Crumb,Terry Zwigoff,1995,$31.96,$31.96,,,[],False
534,L’enfance nue,Maurice Pialat,1968,$23.96,,,,[],True
535,Merry Christmas Mr. Lawrence,Nagisa Oshima,1983,,$31.96,,,[],True
536,The Thin Red Line,Terrence Malick,1998,$23.96,$31.96,,,[],False
537,The Magician,Ingmar Bergman,1958,$23.96,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
538,Paths of Glory,Stanley Kubrick,1957,$23.96,$31.96,,,[],True
539,House,Nobuhiko Obayashi,1977,$23.96,$31.96,,,[],True
540,The Darjeeling Limited,Wes Anderson,2007,$23.96,$31.96,,,[],False
541,The Night of the Hunter,Charles Laughton,1955,$31.96,$39.96,,,[],False
542,Antichrist,Lars von Trier,2009,$23.96,$31.96,,,[],True
543,Modern Times,Charles Chaplin,1936,$23.96,$31.96,,,[],True
544,Head,Bob Rafelson,1968,,,,,['America Lost and Found: The BBS Story (Available)'],False
545,Easy Rider,Dennis Hopper,1969,$23.96,$31.96,,,['America Lost and Found: The BBS Story (Available)'],False
546,Five Easy Pieces,Bob Rafelson,1970,$23.96,$31.96,,,['America Lost and Found: The BBS Story (Available)'],False
547,"Drive, He Said",Jack Nicholson,1970,,,,,['America Lost and Found: The BBS Story (Available)'],False
548,A Safe Place,Henry Jaglom,1971,,,,,['America Lost and Found: The BBS Story (Available)'],False
549,The Last Picture Show,Peter Bogdanovich,1971,,$39.96,,$47.96,['America Lost and Found: The BBS Story (Available)'],True
550,The King of Marvin Gardens,Bob Rafelson,1972,,,,,['America Lost and Found: The BBS Story (Available)'],False
551,Cronos,Guillermo del Toro,1993,$23.96,$31.96,,,"['Trilogía de Guillermo del Toro (Out of Print)', 'Trilogía de Guillermo del Toro (Available)']",True
552,Broadcast News,James L. Brooks,1987,$23.96,$31.96,,,[],False
553,Fish Tank,Andrea Arnold,2009,,$31.96,,,[],True
554,Still Walking,Hirokazu Kore-eda,2008,Currently Unavailable,$31.96,,,[],True
555,Sweet Smell of Success,Alexander Mackendrick,1957,$31.96,$31.96,,,[],False
556,Senso,Luchino Visconti,1954,$23.96,$31.96,,,[],True
557,The Times of Harvey Milk,Robert Epstein,1984,,$31.96,,,[],True
558,Topsy-Turvy,Mike Leigh,1999,,$31.96,,,[],True
559,The Mikado,Victor Schertzinger,1939,$23.96,$31.96,,,[],True
560,White Material,Claire Denis,2009,$23.96,$31.96,,,[],True
561,Kes,Ken Loach,1970,$23.96,$31.96,,,[],False
562,Blow Out,Brian De Palma,1981,$23.96,$31.96,,$39.96,[],False
563,Something Wild,Jonathan Demme,1986,$23.96,$31.96,,,[],True
564,Pale Flower,Masahiro Shinoda,1964,$23.96,$31.96,,,[],True
565,The Great Dictator,Charles Chaplin,1940,$23.96,$31.96,,,[],True
566,Insignificance,Nicolas Roeg,1985,$23.96,$31.96,,,[],True
567,The Makioka Sisters,Kon Ichikawa,1983,$15.96,$23.96,,,[],True
568,Kiss Me Deadly,Robert Aldrich,1955,$23.96,$31.96,,,[],False
569,People on Sunday,Robert Siodmak and Edgar G. Ulmer,1930,$23.96,$31.96,,,[],True
570,Zazie dans le métro,Louis Malle,1960,$23.96,$31.96,,,[],True
571,Black Moon,Louis Malle,1975,$23.96,$31.96,,,[],True
572,"Léon Morin, Priest",Jean-Pierre Melville,1961,Out Of Print,Out Of Print,,,[],True
573,The Music Room,Satyajit Ray,1958,$23.96,$31.96,,,[],True
574,Life During Wartime,Todd Solondz,2010,$23.96,$31.96,,,[],True
575,The Killing,Stanley Kubrick,1956,$23.96,$31.96,,,[],True
576,Secret Sunshine,Lee Chang-dong,2007,$23.96,$31.96,,,[],True
577,Cul-de-sac,Roman Polanski,1966,$23.96,$31.96,,,[],False
578,The Complete Jean Vigo,,,$23.96,$31.96,,,[],False
579,The Phantom Carriage,Victor Sjöström,1921,$23.96,$31.96,,,[],True
580,Le beau Serge,Claude Chabrol,1958,$23.96,$31.96,,,[],True
581,Les cousins,Claude Chabrol,1959,$23.96,$31.96,,,[],True
582,Carlos,Olivier Assayas,2010,$39.96,$39.96,,,[],False
583,The Four Feathers,Zoltán Korda,1939,$23.96,$31.96,,,[],True
584,Kuroneko,Kaneto Shindo,1968,$23.96,$31.96,,,[],True
585,Identification of a Woman,Michelangelo Antonioni,1982,$15.96,$23.96,,,[],True
586,Island of Lost Souls,Erle C. Kenton,1932,$23.96,$31.96,,,[],False
587,Three Colors,,,$63.96,$63.96,,$99.96,[],False
588,Three Colors: Blue,Krzysztof Kieślowski,1993,,,,,"['Three Colors (Available)', 'Three Colors (Available)', 'Three Colors (Available)']",True
589,Three Colors: White,Krzysztof Kieślowski,1994,,,,,"['Three Colors (Available)', 'Three Colors (Available)', 'Three Colors (Available)']",True
590,Three Colors: Red,Krzysztof Kieślowski,1994,,,,,"['Three Colors (Available)', 'Three Colors (Available)', 'Three Colors (Available)']",True
591,12 Angry Men,Sidney Lumet,1957,$23.96,$31.96,,,[],False
592,Design for Living,Ernst Lubitsch,1933,$23.96,$31.96,,,[],False
593,Belle de jour,Luis Buñuel,1967,$23.96,$31.96,,,[],True
594,Godzilla,Ishiro Honda,1954,$23.96,$31.96,,,"['Godzilla: The Showa-Era Films, 1954–1975 (Available)']",True
595,The Moment of Truth,Francesco Rosi,1965,$15.96,$23.96,,,[],True
596,Three Outlaw Samurai,Hideo Gosha,1964,$15.96,$23.96,,,[],True
597,Tiny Furniture,Lena Dunham,2010,$23.96,$31.96,,,[],False
598,World on a Wire,Rainer Werner Fassbinder,1973,$23.96,$31.96,,,[],True
599,Vanya on 42nd Street,Louis Malle,1994,$23.96,$31.96,,,"['André Gregory & Wallace Shawn: 3 Films (Available)', 'André Gregory & Wallace Shawn: 3 Films (Available)']",False
600,Anatomy of a Murder,Otto Preminger,1959,$23.96,$31.96,,,[],True
601,Letter Never Sent,Mikhail Kalatozov,1959,Currently Unavailable,$23.96,,,[],True
602,The War Room,Chris Hegedus and D. A. Pennebaker,1993,$23.96,$31.96,,,[],True
603,David Lean Directs Noël Coward,,,$63.96,$79.96,,,[],False
604,In Which We Serve,David Lean…,1942,,,,,"['David Lean Directs Noël Coward (Available)', 'David Lean Directs Noël Coward (Available)']",True
