Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
65,Rushmore,Wes Anderson,1998,,$31.96,,,[],False
66,The Orphic Trilogy,,,Out Of Print,,,,[],False
67,The Blood of a Poet,Jean Cocteau,1930,,,,,['The Orphic Trilogy (Out of Print)'],True
68,Orpheus,Jean Cocteau,1950,$23.96,$31.96,,,['The Orphic Trilogy (Out of Print)'],True
69,Testament of Orpheus,Jean Cocteau,1959,,,,,['The Orphic Trilogy (Out of Print)'],True
70,The Last Temptation of Christ,Martin Scorsese,1988,$31.96,$31.96,,,[],False
71,The Magic Flute,Ingmar Bergman,1975,$23.96,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
72,Le million,René Clair,1931,$23.96,,,,[],True
73,Cléo from 5 to 7,Agnès Varda,1962,,,,,"['4 by Agnès Varda (Available)', 'The Complete Films of Agnès Varda (Available)']",True
74,Vagabond,Agnès Varda,1985,,,,,"['4 by Agnès Varda (Available)', 'The Complete Films of Agnès Varda (Available)']",True
75,Chasing Amy,Kevin Smith,1997,Out Of Print,,,,[],False
76,Brief Encounter,David Lean,1945,$23.96,$31.96,,,"['Essential Art House: 50 Years of Janus Films (Out of Print)', 'David Lean Directs Noël Coward (Available)', 'David Lean Directs Noël Coward (Available)']",True
77,And God Created Woman,Roger Vadim,1956,$23.96,,,,[],True
78,The Bank Dick,Edward Cline,1940,Out Of Print,,,,[],False
79,W. C. Fields—Six Short Films,"Monte Brice, Clyde Bruckman, Edwin Middleton, Leslie Pearce, and Arthur Ripley",1933,Out Of Print,,,,[],False
80,The Element of Crime,Lars von Trier,1984,,,,,['Lars von Trier’s Europe Trilogy (Available)'],True
81,Variety Lights,Federico Fellini…,1950,Out Of Print,,,,['Essential Fellini (Available)'],True
82,Hamlet,Laurence Olivier,1948,Out Of Print,,,,['Olivier’s Shakespeare (Out of Print)'],True
83,The Harder They Come,Perry Henzell,1972,Out Of Print,,,,[],True
84,Good Morning,Yasujiro Ozu,1959,$23.96,$31.96,,,[],True
85,Pygmalion,Anthony Asquith and Leslie Howard,1938,Out Of Print,,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
86,Eisenstein: The Sound Years,,,Out Of Print,,,,[],False
87,Alexander Nevsky,Sergei Eisenstein,1938,,,,,"['Eisenstein: The Sound Years (Out of Print)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
88,"Ivan the Terrible, Part II",Sergei Eisenstein,1958,,,,,"['Eisenstein: The Sound Years (Out of Print)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
88,"Ivan the Terrible, Part I",Sergei Eisenstein,1944,,,,,['Eisenstein: The Sound Years (Out of Print)'],True
89,Sisters,Brian De Palma,1973,$23.96,$31.96,,,[],True
90,Kwaidan,Masaki Kobayashi,1965,$23.96,$31.96,,,[],True
91,The Blob,Irvin S. Yeaworth Jr.,1958,$23.96,$31.96,,,[],True
92,Fiend Without a Face,Arthur Crabtree,1958,$31.96,,,,[],True
93,Black Narcissus,Michael Powell and Emeric Pressburger,1947,$23.96,$31.96,,,[],True
94,I Know Where I’m Going!,Michael Powell and Emeric Pressburger,1945,$31.96,,,,[],True
95,All That Heaven Allows,Douglas Sirk,1955,$23.96,$31.96,,,[],False
96,Written on the Wind,Douglas Sirk,1956,$23.96,$31.96,,,[],False
97,Do the Right Thing,Spike Lee,1989,$23.96,$31.96,,,[],True
98,L’avventura,Michelangelo Antonioni,1960,$23.96,$31.96,,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
99,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",1970,$31.96,$31.96,,,[],True
100,Beastie Boys Video Anthology,Various,2000,$23.96,,,,[],False
101,Cries and Whispers,Ingmar Bergman,1972,$23.96,$31.96,,,['Ingmar Bergman’s Cinema (Available)'],True
102,The Discreet Charm of the Bourgeoisie,Luis Buñuel,1972,,,,,['Three Films by Luis Buñuel (Available)'],False
103,The Lady Eve,Preston Sturges,1941,$23.96,$31.96,,,[],False
104,Double Suicide,Masahiro Shinoda,1969,$23.96,,,,[],True
105,Spartacus,Stanley Kubrick,1960,$39.96,,,,[],False
106,Coup de torchon,Bertrand Tavernier,1981,Out Of Print,,,,[],True
107,Mona Lisa,Neil Jordan,1986,,$31.96,,,[],True
108,The Rock,Michael Bay,1996,Out Of Print,,,,[],False
109,The Scarlet Empress,Josef von Sternberg,1934,,,,,"['Dietrich & von Sternberg in Hollywood (Availability Unsure)', 'Dietrich & von Sternberg in Hollywood (Available)']",False
110,Monsieur Hulot’s Holiday,Jacques Tati,1953,,,,,"['The Complete Jacques Tati (Available)', 'The Complete Jacques Tati (Available)', 'Essential Art House: 50 Years of Janus Films (Out of Print)']",True
111,Mon oncle,Jacques Tati,1958,,,,,"['The Complete Jacques Tati (Available)', 'The Complete Jacques Tati (Available)']",True
